K,Accuracy
1,0.5161290322580645
2,0.4838709677419355
3,0.4838709677419355
4,0.6129032258064516
5,0.5483870967741935
6,0.5806451612903226
7,0.5483870967741935
8,0.5806451612903226
9,0.5483870967741935
10,0.5483870967741935
11,0.5806451612903226
